organization,rateCase,snrDb,BER,berCiHigh,frames
B_CONT_50x6,R12,-2.0,0.0356599999999999,0.0363295480237558,1000
C_CONT_100x3,R12,-2.0,0.0356599999999999,0.0363295480237558,1000
D_CONT_150x2,R12,-2.0,0.0356599999999999,0.0363295480237558,1000
A_BLOCK_300,R12,-1.5,0.0141899999999999,0.0146194925111988,1000
B_CONT_50x6,R12,-1.5,0.0142633333333333,0.0146939011915386,1000
C_CONT_100x3,R12,-1.5,0.0142633333333333,0.0146939011915386,1000
D_CONT_150x2,R12,-1.5,0.0142633333333333,0.0146939011915386,1000
A_BLOCK_300,R12,-1.0,0.0051037851037851,0.0053536678079972,1092
B_CONT_50x6,R12,-1.0,0.0051037851037851,0.0053536678079972,1092
C_CONT_100x3,R12,-1.0,0.0051037851037851,0.0053536678079972,1092
D_CONT_150x2,R12,-1.0,0.0051037851037851,0.0053536678079972,1092
A_BLOCK_300,R12,-0.5,0.0013420427553444,0.0014153463428191,3368
B_CONT_50x6,R12,-0.5,0.0013420427553444,0.0014153463428191,3368
C_CONT_100x3,R12,-0.5,0.0013420427553444,0.0014153463428191,3368
D_CONT_150x2,R12,-0.5,0.0013420427553444,0.0014153463428191,3368
A_BLOCK_300,R12,0.0,0.0003187309406521,0.0003382468526692,11368
B_CONT_50x6,R12,0.0,0.0003187309406521,0.0003382468526692,11368
C_CONT_100x3,R12,0.0,0.0003187309406521,0.0003382468526692,11368
D_CONT_150x2,R12,0.0,0.0003187309406521,0.0003382468526692,11368
A_BLOCK_300,R12,0.5,8.18399044205496e-05,8.718586118454609e-05,39060
B_CONT_50x6,R12,0.5,8.18399044205496e-05,8.718586118454609e-05,39060
C_CONT_100x3,R12,0.5,8.18399044205496e-05,8.718586118454609e-05,39060
D_CONT_150x2,R12,0.5,8.18399044205496e-05,8.718586118454609e-05,39060
A_BLOCK_300,R12,1.0,1.6866666666666666e-05,1.9076976151534653e-05,50000
B_CONT_50x6,R12,1.0,1.6866666666666666e-05,1.9076976151534653e-05,50000
C_CONT_100x3,R12,1.0,1.6866666666666666e-05,1.9076976151534653e-05,50000
D_CONT_150x2,R12,1.0,1.6866666666666666e-05,1.9076976151534653e-05,50000
A_BLOCK_300,R12,1.5,3.6666666666666666e-06,4.77216804786617e-06,50000
B_CONT_50x6,R12,1.5,3.6666666666666666e-06,4.77216804786617e-06,50000
C_CONT_100x3,R12,1.5,3.6666666666666666e-06,4.77216804786617e-06,50000
D_CONT_150x2,R12,1.5,3.6666666666666666e-06,4.77216804786617e-06,50000
A_BLOCK_300,R12,2.0,4.0000000000000003e-07,8.727733839017842e-07,50000
B_CONT_50x6,R12,2.0,4.0000000000000003e-07,8.727733839017842e-07,50000
C_CONT_100x3,R12,2.0,4.0000000000000003e-07,8.727733839017842e-07,50000
D_CONT_150x2,R12,2.0,4.0000000000000003e-07,8.727733839017842e-07,50000
A_BLOCK_300,R12,2.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R12,2.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R12,2.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R12,2.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R12,3.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R12,3.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R12,3.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R12,3.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R12,3.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R12,3.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R12,3.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R12,3.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R12,4.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R12,4.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R12,4.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R12,4.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R12,4.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R12,4.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R12,4.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R12,4.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R12,5.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R12,5.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R12,5.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R12,5.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R12,5.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R12,5.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R12,5.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R12,5.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R12,6.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R12,6.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R12,6.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R12,6.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R12,6.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R12,6.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R12,6.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R12,6.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R12,7.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R12,7.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R12,7.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R12,7.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R12,7.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R12,7.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R12,7.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R12,7.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R12,8.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R12,8.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R12,8.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R12,8.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R12,8.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R12,8.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R12,8.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R12,8.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R12,9.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R12,9.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R12,9.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R12,9.0,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R12,9.5,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R12,9.5,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R12,9.5,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R12,9.5,0.0,2.5609718912715457e-07,50000
A_BLOCK_300,R12,10.0,0.0,2.5609718912715457e-07,50000
B_CONT_50x6,R12,10.0,0.0,2.5609718912715457e-07,50000
C_CONT_100x3,R12,10.0,0.0,2.5609718912715457e-07,50000
D_CONT_150x2,R12,10.0,0.0,2.5609718912715457e-07,50000
