organization,rateCase,snrDb,normalizedGoodput,FER
C_CONT_100x3,R12,2.0,0.4901862745098039,2e-05
D_CONT_150x2,R12,2.0,0.4901862745098039,2e-05
A_BLOCK_300,R12,2.5,0.4901960784313725,0.0
B_CONT_50x6,R12,2.5,0.4901960784313725,0.0
C_CONT_100x3,R12,2.5,0.4901960784313725,0.0
D_CONT_150x2,R12,2.5,0.4901960784313725,0.0
A_BLOCK_300,R12,3.0,0.4901960784313725,0.0
B_CONT_50x6,R12,3.0,0.4901960784313725,0.0
C_CONT_100x3,R12,3.0,0.4901960784313725,0.0
D_CONT_150x2,R12,3.0,0.4901960784313725,0.0
A_BLOCK_300,R12,3.5,0.4901960784313725,0.0
B_CONT_50x6,R12,3.5,0.4901960784313725,0.0
C_CONT_100x3,R12,3.5,0.4901960784313725,0.0
D_CONT_150x2,R12,3.5,0.4901960784313725,0.0
A_BLOCK_300,R12,4.0,0.4901960784313725,0.0
B_CONT_50x6,R12,4.0,0.4901960784313725,0.0
C_CONT_100x3,R12,4.0,0.4901960784313725,0.0
D_CONT_150x2,R12,4.0,0.4901960784313725,0.0
A_BLOCK_300,R12,4.5,0.4901960784313725,0.0
B_CONT_50x6,R12,4.5,0.4901960784313725,0.0
C_CONT_100x3,R12,4.5,0.4901960784313725,0.0
D_CONT_150x2,R12,4.5,0.4901960784313725,0.0
A_BLOCK_300,R12,5.0,0.4901960784313725,0.0
B_CONT_50x6,R12,5.0,0.4901960784313725,0.0
C_CONT_100x3,R12,5.0,0.4901960784313725,0.0
D_CONT_150x2,R12,5.0,0.4901960784313725,0.0
A_BLOCK_300,R12,5.5,0.4901960784313725,0.0
B_CONT_50x6,R12,5.5,0.4901960784313725,0.0
C_CONT_100x3,R12,5.5,0.4901960784313725,0.0
D_CONT_150x2,R12,5.5,0.4901960784313725,0.0
A_BLOCK_300,R12,6.0,0.4901960784313725,0.0
B_CONT_50x6,R12,6.0,0.4901960784313725,0.0
C_CONT_100x3,R12,6.0,0.4901960784313725,0.0
D_CONT_150x2,R12,6.0,0.4901960784313725,0.0
A_BLOCK_300,R12,6.5,0.4901960784313725,0.0
B_CONT_50x6,R12,6.5,0.4901960784313725,0.0
C_CONT_100x3,R12,6.5,0.4901960784313725,0.0
D_CONT_150x2,R12,6.5,0.4901960784313725,0.0
A_BLOCK_300,R12,7.0,0.4901960784313725,0.0
B_CONT_50x6,R12,7.0,0.4901960784313725,0.0
C_CONT_100x3,R12,7.0,0.4901960784313725,0.0
D_CONT_150x2,R12,7.0,0.4901960784313725,0.0
A_BLOCK_300,R12,7.5,0.4901960784313725,0.0
B_CONT_50x6,R12,7.5,0.4901960784313725,0.0
C_CONT_100x3,R12,7.5,0.4901960784313725,0.0
D_CONT_150x2,R12,7.5,0.4901960784313725,0.0
A_BLOCK_300,R12,8.0,0.4901960784313725,0.0
B_CONT_50x6,R12,8.0,0.4901960784313725,0.0
C_CONT_100x3,R12,8.0,0.4901960784313725,0.0
D_CONT_150x2,R12,8.0,0.4901960784313725,0.0
A_BLOCK_300,R12,8.5,0.4901960784313725,0.0
B_CONT_50x6,R12,8.5,0.4901960784313725,0.0
C_CONT_100x3,R12,8.5,0.4901960784313725,0.0
D_CONT_150x2,R12,8.5,0.4901960784313725,0.0
A_BLOCK_300,R12,9.0,0.4901960784313725,0.0
B_CONT_50x6,R12,9.0,0.4901960784313725,0.0
C_CONT_100x3,R12,9.0,0.4901960784313725,0.0
D_CONT_150x2,R12,9.0,0.4901960784313725,0.0
A_BLOCK_300,R12,9.5,0.4901960784313725,0.0
B_CONT_50x6,R12,9.5,0.4901960784313725,0.0
C_CONT_100x3,R12,9.5,0.4901960784313725,0.0
D_CONT_150x2,R12,9.5,0.4901960784313725,0.0
A_BLOCK_300,R12,10.0,0.4901960784313725,0.0
B_CONT_50x6,R12,10.0,0.4901960784313725,0.0
C_CONT_100x3,R12,10.0,0.4901960784313725,0.0
D_CONT_150x2,R12,10.0,0.4901960784313725,0.0
