caseName,sourcePayloadEbN0Db,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,aggregation,seriesLabel,visualStyleKey,plotted,omissionReason
BCH-B300,4.5999999999999996,-20,0,6,UNIFORM_RANDOM,5000,1500000,15716,1614,0.010477333333333333,0.3228,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
BCH-B300,4.5999999999999996,-20,0,8,UNIFORM_RANDOM,5000,1500000,20666,2069,0.013777333333333334,0.4138,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
BCH-B300,4.5999999999999996,-20,0,10,UNIFORM_RANDOM,5000,1500000,27211,2683,0.018140666666666666,0.5366,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
BCH-B300,4.5999999999999996,-20,0,12,UNIFORM_RANDOM,5000,1500000,33501,3192,0.022334,0.6384,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
BCH-B300,4.5999999999999996,-20,0,14,UNIFORM_RANDOM,5000,1500000,39032,3623,0.026021333333333334,0.7246,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
BCH-B300,4.5999999999999996,-20,0,15,UNIFORM_RANDOM,5000,1500000,41839,3837,0.027892666666666666,0.7674,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
BCH-B300,4.5999999999999996,-20,0,16,UNIFORM_RANDOM,5000,1500000,43895,3980,0.029263333333333332,0.796,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
BCH-B300,4.5999999999999996,-20,0,20,UNIFORM_RANDOM,5000,1500000,54209,4542,0.036139333333333336,0.9084,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
BCH-B300,4.5999999999999996,-20,0,24,UNIFORM_RANDOM,5000,1500000,62815,4819,0.041876666666666666,0.9638,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
BCH-B300,4.5999999999999996,-20,0,29,UNIFORM_RANDOM,5000,1500000,71651,4948,0.047767333333333335,0.9896,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
BCH-B300,4.5999999999999996,-20,0,30,UNIFORM_RANDOM,5000,1500000,73899,4960,0.049266,0.992,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
BCH-B300,4.5999999999999996,-20,0,31,UNIFORM_RANDOM,5000,1500000,74716,4976,0.04981066666666667,0.9952,RAW_COUNTS,BCH-B300 / -20,BCH-B300|-20|#9467bd|--|D,true,
