caseName,burstMode,sourcePayloadEbN0Db,burstLength,burstStartPolicy,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,aggregation,seriesLabel,visualStyleKey,plotted,omissionReason
BCH-S200,AWGN,7.5,1,UNIFORM_RANDOM,5000,1000000,520,236,0.00052,0.0472,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,2,UNIFORM_RANDOM,5000,1000000,10458,4544,0.010458,0.9088,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,3,UNIFORM_RANDOM,5000,1000000,13816,4855,0.013816,0.971,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,4,UNIFORM_RANDOM,5000,1000000,17492,4848,0.017492,0.9696,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,5,UNIFORM_RANDOM,5000,1000000,21794,4879,0.021794,0.9758,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,6,UNIFORM_RANDOM,5000,1000000,24808,4910,0.024808,0.982,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,7,UNIFORM_RANDOM,5000,1000000,24031,4889,0.024031,0.9778,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,8,UNIFORM_RANDOM,5000,1000000,31120,4941,0.03112,0.9882,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,10,UNIFORM_RANDOM,5000,1000000,36346,4931,0.036346,0.9862,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,12,UNIFORM_RANDOM,5000,1000000,42185,4967,0.042185,0.9934,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,14,UNIFORM_RANDOM,5000,1000000,50090,5000,0.05009,1.0,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,15,UNIFORM_RANDOM,5000,1000000,53669,5000,0.053669,1.0,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,16,UNIFORM_RANDOM,5000,1000000,57338,5000,0.057338,1.0,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,20,UNIFORM_RANDOM,5000,1000000,72195,5000,0.072195,1.0,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,24,UNIFORM_RANDOM,5000,1000000,86732,5000,0.086732,1.0,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,29,UNIFORM_RANDOM,5000,1000000,105146,5000,0.105146,1.0,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
BCH-S200,AWGN,7.5,30,UNIFORM_RANDOM,5000,1000000,108522,5000,0.108522,1.0,RAW_COUNTS,BCH-S200,BCH-S200|DEFAULT|#1f77b4|-|o,true,
