phase,caseId,snrDb,esN0Db,ebN0Db,actualRate,sigmaSquared,N_transmitted,frameStart,frameEndExclusive,framesProcessed,frameSequenceDigest,payloadBitErrors,payloadErrorFrames,BER,FER,payloadSuccessRate,avgEncodeTime_us,maxEncodeTime_us,avgDecodeTime_us,p95DecodeTime_us,maxDecodeTime_us,rawDecodeThroughput_Mbps,successfulDecodeThroughput_Mbps,normalizedGoodput,stopReason,berCiLow,berCiHigh,ferCiLow,ferCiHigh,gridLayer,sourceLayer
formal,CC-B-R12-H,6.5,6.5,9.5963016742589886,0.49019607843137253,0.11193605692841696,612,0,50000,50000,2314585527903299907,0,0,0,0,1,4.8155099999999829,343.19999999999999,269.77188800000062,341.19999999999999,11962.5,1.1120506373888717,1.1120506373888717,0.49019607843137253,MAX_FRAMES_REACHED,0,2.5609718912715457e-07,0,7.6823274145000517e-05,coarse,coarse
formal,CC-B-R12-H,7,7,10.096301674258989,0.49019607843137253,0.099763115748444001,612,0,50000,50000,2314585527903299907,0,0,0,0,1,4.7089799999998343,186.40000000000001,261.63494999999875,333,2575.6999999999998,1.1466357992309568,1.1466357992309568,0.49019607843137253,MAX_FRAMES_REACHED,0,2.5609718912715457e-07,0,7.6823274145000517e-05,coarse,coarse
formal,CC-B-R12-H,7.5,7.5,10.596301674258989,0.49019607843137253,0.088913970501946132,612,0,50000,50000,2314585527903299907,0,0,0,0,1,4.6954839999997811,233,259.49451800000003,330.10000000000002,2103.4000000000001,1.1560937869215409,1.1560937869215409,0.49019607843137253,MAX_FRAMES_REACHED,0,2.5609718912715457e-07,0,7.6823274145000517e-05,coarse,coarse
formal,CC-B-R12-H,8,8,11.096301674258989,0.49019607843137253,0.079244659623055658,612,0,50000,50000,2314585527903299907,0,0,0,0,1,4.6728659999997229,684.89999999999998,255.87196000000216,323.89999999999998,2352.8000000000002,1.1724614139040381,1.1724614139040381,0.49019607843137253,MAX_FRAMES_REACHED,0,2.5609718912715457e-07,0,7.6823274145000517e-05,coarse,coarse
formal,CC-B-R12-H,8.5,8.5,11.596301674258989,0.49019607843137253,0.070626877231137725,612,0,50000,50000,2314585527903299907,0,0,0,0,1,4.5202259999996182,220.69999999999999,246.17762200000203,314.89999999999998,1595.5999999999999,1.2186322930684477,1.2186322930684477,0.49019607843137253,MAX_FRAMES_REACHED,0,2.5609718912715457e-07,0,7.6823274145000517e-05,coarse,coarse
formal,CC-B-R12-H,9,9,12.096301674258989,0.49019607843137253,0.06294627058970835,612,0,50000,50000,2314585527903299907,0,0,0,0,1,4.5168119999998062,1168.5999999999999,244.46990000000056,311.89999999999998,1747,1.227144936861345,1.227144936861345,0.49019607843137253,MAX_FRAMES_REACHED,0,2.5609718912715457e-07,0,7.6823274145000517e-05,coarse,coarse
formal,CC-B-R12-H,9.5,9.5,12.596301674258989,0.49019607843137253,0.05610092271509818,612,0,50000,50000,2314585527903299907,0,0,0,0,1,4.4913299999997429,134.90000000000001,243.66346400000143,312.39999999999998,1770.3,1.231206333010181,1.231206333010181,0.49019607843137253,MAX_FRAMES_REACHED,0,2.5609718912715457e-07,0,7.6823274145000517e-05,coarse,coarse
formal,CC-B-R12-H,10,10,13.096301674258989,0.49019607843137253,0.050000000000000003,612,0,50000,50000,2314585527903299907,0,0,0,0,1,4.5643419999998214,542.79999999999995,248.07847599999994,321.39999999999998,19908.299999999999,1.2092947555837132,1.2092947555837132,0.49019607843137253,MAX_FRAMES_REACHED,0,2.5609718912715457e-07,0,7.6823274145000517e-05,coarse,coarse
formal,CC-B-R12-S,-5,-5,-1.9036983257410123,0.49019607843137253,1.5811388300841895,612,0,1000,1000,11397846946697916867,118759,1000,0.39586333333333334,1,0,4.3365,25.800000000000001,287.45400000000029,391.10000000000002,1339.5,1.0436452441086215,0,0,TARGET_ERRORS_REACHED,0.39411471916837443,0.39761461437558815,0.99617324151444497,1,coarse,coarse
formal,CC-B-R12-S,-4.5,-4.5,-1.4036983257410123,0.49019607843137253,1.4091914656322269,612,0,1000,1000,11397846946697916867,104841,1000,0.34947,1,0,4.4527999999999972,68,297.91510000000017,385.30000000000001,1145.8,1.0069983025365274,0,0,TARGET_ERRORS_REACHED,0.34776575248791741,0.35117810249469528,0.99617324151444497,1,coarse,coarse
formal,CC-B-R12-S,-4,-4,-0.90369832574101228,0.49019607843137253,1.2559432157547903,612,0,1000,1000,11397846946697916867,86816,1000,0.28938666666666668,1,0,4.9625999999999886,421.19999999999999,306.95550000000037,391.60000000000002,767.20000000000005,0.97734036366834809,0,0,TARGET_ERRORS_REACHED,0.28776665236719495,0.29101207464672035,0.99617324151444497,1,coarse,coarse
formal,CC-B-R12-S,-3.5,-3.5,-0.40369832574101228,0.49019607843137253,1.1193605692841697,612,0,1000,1000,11397846946697916867,64994,996,0.21664666666666665,0.996,0.0040000000000000036,4.4590000000000058,30.699999999999999,305.22369999999989,395.10000000000002,796,0.98288566713528502,0.003931542668541144,0.0019607843137254919,TARGET_ERRORS_REACHED,0.21517614771986501,0.21812444212162771,0.98976044372273775,0.99844341185959162,coarse,coarse
formal,CC-B-R12-S,-3,-3,0.096301674258987724,0.49019607843137253,0.99763115748443987,612,0,1000,1000,11397846946697916867,42860,974,0.14286666666666667,0.97399999999999998,0.026000000000000023,4.4024999999999945,19.899999999999999,304.06069999999966,396.80000000000001,678.5,0.98664510079730905,0.025652772620730058,0.012745098039215697,TARGET_ERRORS_REACHED,0.1416190294787327,0.14412344982411104,0.96217617115731013,0.9821960617983837,coarse,coarse
formal,CC-B-R12-S,-2.5,-2.5,0.59630167425898772,0.49019607843137253,0.88913970501946138,612,0,1000,1000,11397846946697916867,24497,896,0.081656666666666669,0.89600000000000002,0.10399999999999998,4.7244999999999999,153.09999999999999,311.01710000000026,401.10000000000002,734.20000000000005,0.96457718884267052,0.10031602763963772,0.050980392156862731,TARGET_ERRORS_REACHED,0.08068210587930856,0.082641940974759007,0.87554023537770842,0.91342897190173189,coarse,coarse
formal,CC-B-R12-S,-2,-2,1.0963016742589877,0.49019607843137253,0.79244659623055669,612,0,5000,5000,8320246021676229635,53049,3249,0.035366000000000002,0.64980000000000004,0.35019999999999996,8.211759999999952,4618.8999999999996,519.29414000000008,1061.9000000000001,9936.2000000000007,0.5777072701032212,0.20231308599014805,0.17166666666666663,TARGET_ERRORS_REACHED,0.035071606758256955,0.0356627730654853,0.63646715238359108,0.66290284411366984,dense_verified_legacy,dense_verified_legacy
formal,CC-B-R12-S,-1.8,-1.8,1.2963016742589877,0.49019607843137253,0.7567806242181041,612,0,5000,5000,8320246021676229635,36397,2675,0.024264666666666667,0.53500000000000003,0.46499999999999997,6.801499999999975,547.10000000000002,502.87155999999857,1033.4000000000001,7953.8999999999996,0.59657380504875013,0.27740681934766881,0.2279411764705882,TARGET_ERRORS_REACHED,0.024019643988328055,0.024512126029021735,0.52115337018236463,0.54879289068148152,dense_verified_legacy,dense_verified_legacy
formal,CC-B-R12-S,-1.6000000000000001,-1.6000000000000001,1.4963016742589876,0.49019607843137253,0.72271988537296372,612,0,5000,5000,8320246021676229635,25171,2135,0.016780666666666666,0.42699999999999999,0.57299999999999995,6.5054599999999771,844.29999999999995,494.59332000000074,903.70000000000005,13702.700000000001,0.606558940181399,0.34755827272394157,0.28088235294117642,TARGET_ERRORS_REACHED,0.01657634371271683,0.016987464637171872,0.4133506585066844,0.44076142597729406,dense_verified_legacy,dense_verified_legacy
formal,CC-B-R12-S,-1.5,-1.5,1.5963016742589877,0.49019607843137253,0.70626877231137719,612,0,1000,1000,11397846946697916867,4286,371,0.014286666666666666,0.371,0.629,4.4972999999999992,55.299999999999997,311.0177999999998,403.10000000000002,920.89999999999998,0.96457501789286726,0.60671768625461353,0.30833333333333335,TARGET_ERRORS_REACHED,0.013868196084455624,0.014717576074724665,0.34160632634411098,0.40138097734516226,coarse,coarse
