caseName,sourcePayloadEbN0Db,attenuationDb,completeBlockage,blockageLength,blockageStartPolicy,processedFrames,processedPayloadBits,decodedBitErrors,decodedFrameErrors,BER,FER,aggregation
BCH-S200,6.2999999999999998,-6,0,2,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,1251,530,0.001251,0.106,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,2,ON_SEGMENT_BOUNDARY,5000,1000000,1342,561,0.001342,0.1122,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,2,UNIFORM_RANDOM,5000,1000000,1392,588,0.001392,0.1176,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,4,FRAME_START,5000,1000000,2117,825,0.002117,0.165,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,4,FRAME_MIDDLE,5000,1000000,2230,833,0.00223,0.1666,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,4,FRAME_END,5000,1000000,1149,527,0.001149,0.1054,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,4,SEGMENT_INTERIOR,5000,1000000,2137,806,0.002137,0.1612,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,4,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,1717,702,0.001717,0.1404,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,4,ON_SEGMENT_BOUNDARY,5000,1000000,2055,805,0.002055,0.161,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,4,UNIFORM_RANDOM,5000,1000000,1891,793,0.001891,0.1586,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,6,FRAME_START,5000,1000000,3076,1111,0.003076,0.2222,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,6,FRAME_MIDDLE,5000,1000000,3249,1152,0.003249,0.2304,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,6,FRAME_END,5000,1000000,1162,539,0.001162,0.1078,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,6,SEGMENT_INTERIOR,5000,1000000,2748,1168,0.002748,0.2336,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,6,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,2616,999,0.002616,0.1998,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,6,ON_SEGMENT_BOUNDARY,5000,1000000,3142,1155,0.003142,0.231,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,6,UNIFORM_RANDOM,5000,1000000,2708,1085,0.002708,0.217,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,8,FRAME_START,5000,1000000,4341,1508,0.004341,0.3016,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,8,FRAME_MIDDLE,5000,1000000,4426,1512,0.004426,0.3024,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,8,FRAME_END,5000,1000000,1267,635,0.001267,0.127,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,8,SEGMENT_INTERIOR,5000,1000000,3279,1522,0.003279,0.3044,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,8,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,3820,1371,0.00382,0.2742,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,8,ON_SEGMENT_BOUNDARY,5000,1000000,4373,1529,0.004373,0.3058,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,8,UNIFORM_RANDOM,5000,1000000,3542,1399,0.003542,0.2798,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,10,FRAME_START,5000,1000000,5540,1848,0.00554,0.3696,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,10,FRAME_MIDDLE,5000,1000000,5359,1867,0.005359,0.3734,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,10,FRAME_END,5000,1000000,1335,693,0.001335,0.1386,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,10,SEGMENT_INTERIOR,5000,1000000,3558,1610,0.003558,0.322,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,10,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,5055,1717,0.005055,0.3434,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,10,ON_SEGMENT_BOUNDARY,5000,1000000,5696,1890,0.005696,0.378,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,10,UNIFORM_RANDOM,5000,1000000,4223,1673,0.004223,0.3346,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,12,FRAME_START,5000,1000000,6646,2268,0.006646,0.4536,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,12,FRAME_MIDDLE,5000,1000000,6278,2209,0.006278,0.4418,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,12,FRAME_END,5000,1000000,1396,750,0.001396,0.15,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,12,SEGMENT_INTERIOR,5000,1000000,4271,1796,0.004271,0.3592,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,12,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,6390,2083,0.00639,0.4166,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,12,ON_SEGMENT_BOUNDARY,5000,1000000,6642,2242,0.006642,0.4484,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,12,UNIFORM_RANDOM,5000,1000000,5143,1943,0.005143,0.3886,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,14,FRAME_START,5000,1000000,7168,2584,0.007168,0.5168,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,14,FRAME_MIDDLE,5000,1000000,7233,2570,0.007233,0.514,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,14,FRAME_END,5000,1000000,1796,1094,0.001796,0.2188,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,14,SEGMENT_INTERIOR,5000,1000000,5358,2055,0.005358,0.411,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,14,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,7036,2445,0.007036,0.489,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,14,ON_SEGMENT_BOUNDARY,5000,1000000,7237,2577,0.007237,0.5154,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,14,UNIFORM_RANDOM,5000,1000000,5970,2238,0.00597,0.4476,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,15,FRAME_START,5000,1000000,7407,2738,0.007407,0.5476,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,15,FRAME_MIDDLE,5000,1000000,7506,2741,0.007506,0.5482,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,15,FRAME_END,5000,1000000,2205,1399,0.002205,0.2798,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,15,SEGMENT_INTERIOR,5000,1000000,5962,2194,0.005962,0.4388,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,15,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,7311,2599,0.007311,0.5198,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,15,ON_SEGMENT_BOUNDARY,5000,1000000,7457,2721,0.007457,0.5442,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,15,UNIFORM_RANDOM,5000,1000000,6303,2325,0.006303,0.465,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,16,FRAME_START,5000,1000000,7521,2758,0.007521,0.5516,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,16,FRAME_MIDDLE,5000,1000000,7597,2767,0.007597,0.5534,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,16,FRAME_END,5000,1000000,2274,1428,0.002274,0.2856,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,16,SEGMENT_INTERIOR,5000,1000000,6589,2341,0.006589,0.4682,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,16,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,7531,2741,0.007531,0.5482,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,16,ON_SEGMENT_BOUNDARY,5000,1000000,7576,2744,0.007576,0.5488,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,16,UNIFORM_RANDOM,5000,1000000,6799,2449,0.006799,0.4898,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,20,FRAME_START,5000,1000000,8886,2986,0.008886,0.5972,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,20,FRAME_MIDDLE,5000,1000000,8158,2918,0.008158,0.5836,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,20,FRAME_END,5000,1000000,2953,1771,0.002953,0.3542,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,20,SEGMENT_INTERIOR,5000,1000000,8858,2897,0.008858,0.5794,RAW_COUNTS
BCH-S200,6.2999999999999998,-6,0,20,ONE_BEFORE_SEGMENT_BOUNDARY,5000,1000000,8583,2929,0.008583,0.5858,RAW_COUNTS
