actualLength,snrDb,algorithm,field,oldValue,newValue,changed
480,4.5,DIRECT_LAYERED_SPA_BP,rankHp,160,96,True
480,5.0,DIRECT_LAYERED_NMS,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,5.0,DIRECT_LAYERED_NMS,targetLength,480,480,False
480,5.0,DIRECT_LAYERED_NMS,actualLength,480,480,False
480,5.0,DIRECT_LAYERED_NMS,actualRate,0.625,0.625,False
480,5.0,DIRECT_LAYERED_NMS,Zc,40,48,True
480,5.0,DIRECT_LAYERED_NMS,fillerLength,20,84,True
480,5.0,DIRECT_LAYERED_NMS,rankHp,160,96,True
480,5.0,DIRECT_LAYERED_SPA_BP,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,5.0,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,5.0,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
480,5.0,DIRECT_LAYERED_SPA_BP,actualRate,0.625,0.625,False
480,5.0,DIRECT_LAYERED_SPA_BP,Zc,40,48,True
480,5.0,DIRECT_LAYERED_SPA_BP,fillerLength,20,84,True
480,5.0,DIRECT_LAYERED_SPA_BP,rankHp,160,96,True
480,5.5,DIRECT_LAYERED_NMS,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,5.5,DIRECT_LAYERED_NMS,targetLength,480,480,False
480,5.5,DIRECT_LAYERED_NMS,actualLength,480,480,False
480,5.5,DIRECT_LAYERED_NMS,actualRate,0.625,0.625,False
480,5.5,DIRECT_LAYERED_NMS,Zc,40,48,True
480,5.5,DIRECT_LAYERED_NMS,fillerLength,20,84,True
480,5.5,DIRECT_LAYERED_NMS,rankHp,160,96,True
480,5.5,DIRECT_LAYERED_SPA_BP,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,5.5,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,5.5,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
480,5.5,DIRECT_LAYERED_SPA_BP,actualRate,0.625,0.625,False
480,5.5,DIRECT_LAYERED_SPA_BP,Zc,40,48,True
480,5.5,DIRECT_LAYERED_SPA_BP,fillerLength,20,84,True
480,5.5,DIRECT_LAYERED_SPA_BP,rankHp,160,96,True
480,6.0,DIRECT_LAYERED_NMS,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,6.0,DIRECT_LAYERED_NMS,targetLength,480,480,False
480,6.0,DIRECT_LAYERED_NMS,actualLength,480,480,False
480,6.0,DIRECT_LAYERED_NMS,actualRate,0.625,0.625,False
480,6.0,DIRECT_LAYERED_NMS,Zc,40,48,True
480,6.0,DIRECT_LAYERED_NMS,fillerLength,20,84,True
480,6.0,DIRECT_LAYERED_NMS,rankHp,160,96,True
480,6.0,DIRECT_LAYERED_SPA_BP,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,6.0,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,6.0,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
480,6.0,DIRECT_LAYERED_SPA_BP,actualRate,0.625,0.625,False
480,6.0,DIRECT_LAYERED_SPA_BP,Zc,40,48,True
480,6.0,DIRECT_LAYERED_SPA_BP,fillerLength,20,84,True
480,6.0,DIRECT_LAYERED_SPA_BP,rankHp,160,96,True
480,6.5,DIRECT_LAYERED_NMS,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,6.5,DIRECT_LAYERED_NMS,targetLength,480,480,False
480,6.5,DIRECT_LAYERED_NMS,actualLength,480,480,False
480,6.5,DIRECT_LAYERED_NMS,actualRate,0.625,0.625,False
480,6.5,DIRECT_LAYERED_NMS,Zc,40,48,True
480,6.5,DIRECT_LAYERED_NMS,fillerLength,20,84,True
480,6.5,DIRECT_LAYERED_NMS,rankHp,160,96,True
480,6.5,DIRECT_LAYERED_SPA_BP,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,6.5,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,6.5,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
480,6.5,DIRECT_LAYERED_SPA_BP,actualRate,0.625,0.625,False
480,6.5,DIRECT_LAYERED_SPA_BP,Zc,40,48,True
480,6.5,DIRECT_LAYERED_SPA_BP,fillerLength,20,84,True
480,6.5,DIRECT_LAYERED_SPA_BP,rankHp,160,96,True
480,7.0,DIRECT_LAYERED_NMS,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,7.0,DIRECT_LAYERED_NMS,targetLength,480,480,False
480,7.0,DIRECT_LAYERED_NMS,actualLength,480,480,False
480,7.0,DIRECT_LAYERED_NMS,actualRate,0.625,0.625,False
480,7.0,DIRECT_LAYERED_NMS,Zc,40,48,True
480,7.0,DIRECT_LAYERED_NMS,fillerLength,20,84,True
480,7.0,DIRECT_LAYERED_NMS,rankHp,160,96,True
480,7.0,DIRECT_LAYERED_SPA_BP,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,7.0,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,7.0,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
480,7.0,DIRECT_LAYERED_SPA_BP,actualRate,0.625,0.625,False
480,7.0,DIRECT_LAYERED_SPA_BP,Zc,40,48,True
480,7.0,DIRECT_LAYERED_SPA_BP,fillerLength,20,84,True
480,7.0,DIRECT_LAYERED_SPA_BP,rankHp,160,96,True
480,7.5,DIRECT_LAYERED_NMS,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,7.5,DIRECT_LAYERED_NMS,targetLength,480,480,False
480,7.5,DIRECT_LAYERED_NMS,actualLength,480,480,False
480,7.5,DIRECT_LAYERED_NMS,actualRate,0.625,0.625,False
480,7.5,DIRECT_LAYERED_NMS,Zc,40,48,True
480,7.5,DIRECT_LAYERED_NMS,fillerLength,20,84,True
480,7.5,DIRECT_LAYERED_NMS,rankHp,160,96,True
480,7.5,DIRECT_LAYERED_SPA_BP,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,7.5,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,7.5,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
480,7.5,DIRECT_LAYERED_SPA_BP,actualRate,0.625,0.625,False
480,7.5,DIRECT_LAYERED_SPA_BP,Zc,40,48,True
480,7.5,DIRECT_LAYERED_SPA_BP,fillerLength,20,84,True
480,7.5,DIRECT_LAYERED_SPA_BP,rankHp,160,96,True
480,8.0,DIRECT_LAYERED_NMS,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,8.0,DIRECT_LAYERED_NMS,targetLength,480,480,False
480,8.0,DIRECT_LAYERED_NMS,actualLength,480,480,False
480,8.0,DIRECT_LAYERED_NMS,actualRate,0.625,0.625,False
480,8.0,DIRECT_LAYERED_NMS,Zc,40,48,True
480,8.0,DIRECT_LAYERED_NMS,fillerLength,20,84,True
480,8.0,DIRECT_LAYERED_NMS,rankHp,160,96,True
480,8.0,DIRECT_LAYERED_SPA_BP,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,8.0,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,8.0,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
480,8.0,DIRECT_LAYERED_SPA_BP,actualRate,0.625,0.625,False
480,8.0,DIRECT_LAYERED_SPA_BP,Zc,40,48,True
480,8.0,DIRECT_LAYERED_SPA_BP,fillerLength,20,84,True
480,8.0,DIRECT_LAYERED_SPA_BP,rankHp,160,96,True
480,8.5,DIRECT_LAYERED_NMS,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,8.5,DIRECT_LAYERED_NMS,targetLength,480,480,False
480,8.5,DIRECT_LAYERED_NMS,actualLength,480,480,False
480,8.5,DIRECT_LAYERED_NMS,actualRate,0.625,0.625,False
480,8.5,DIRECT_LAYERED_NMS,Zc,40,48,True
480,8.5,DIRECT_LAYERED_NMS,fillerLength,20,84,True
480,8.5,DIRECT_LAYERED_NMS,rankHp,160,96,True
480,8.5,DIRECT_LAYERED_SPA_BP,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,8.5,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,8.5,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
480,8.5,DIRECT_LAYERED_SPA_BP,actualRate,0.625,0.625,False
480,8.5,DIRECT_LAYERED_SPA_BP,Zc,40,48,True
480,8.5,DIRECT_LAYERED_SPA_BP,fillerLength,20,84,True
480,8.5,DIRECT_LAYERED_SPA_BP,rankHp,160,96,True
480,9.0,DIRECT_LAYERED_NMS,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,9.0,DIRECT_LAYERED_NMS,targetLength,480,480,False
480,9.0,DIRECT_LAYERED_NMS,actualLength,480,480,False
480,9.0,DIRECT_LAYERED_NMS,actualRate,0.625,0.625,False
480,9.0,DIRECT_LAYERED_NMS,Zc,40,48,True
480,9.0,DIRECT_LAYERED_NMS,fillerLength,20,84,True
480,9.0,DIRECT_LAYERED_NMS,rankHp,160,96,True
480,9.0,DIRECT_LAYERED_SPA_BP,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,9.0,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,9.0,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
480,9.0,DIRECT_LAYERED_SPA_BP,actualRate,0.625,0.625,False
480,9.0,DIRECT_LAYERED_SPA_BP,Zc,40,48,True
480,9.0,DIRECT_LAYERED_SPA_BP,fillerLength,20,84,True
480,9.0,DIRECT_LAYERED_SPA_BP,rankHp,160,96,True
480,9.5,DIRECT_LAYERED_NMS,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,9.5,DIRECT_LAYERED_NMS,targetLength,480,480,False
480,9.5,DIRECT_LAYERED_NMS,actualLength,480,480,False
480,9.5,DIRECT_LAYERED_NMS,actualRate,0.625,0.625,False
480,9.5,DIRECT_LAYERED_NMS,Zc,40,48,True
480,9.5,DIRECT_LAYERED_NMS,fillerLength,20,84,True
480,9.5,DIRECT_LAYERED_NMS,rankHp,160,96,True
480,9.5,DIRECT_LAYERED_SPA_BP,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,9.5,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,9.5,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
480,9.5,DIRECT_LAYERED_SPA_BP,actualRate,0.625,0.625,False
480,9.5,DIRECT_LAYERED_SPA_BP,Zc,40,48,True
480,9.5,DIRECT_LAYERED_SPA_BP,fillerLength,20,84,True
480,9.5,DIRECT_LAYERED_SPA_BP,rankHp,160,96,True
480,10.0,DIRECT_LAYERED_NMS,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,10.0,DIRECT_LAYERED_NMS,targetLength,480,480,False
480,10.0,DIRECT_LAYERED_NMS,actualLength,480,480,False
480,10.0,DIRECT_LAYERED_NMS,actualRate,0.625,0.625,False
480,10.0,DIRECT_LAYERED_NMS,Zc,40,48,True
480,10.0,DIRECT_LAYERED_NMS,fillerLength,20,84,True
480,10.0,DIRECT_LAYERED_NMS,rankHp,160,96,True
480,10.0,DIRECT_LAYERED_SPA_BP,caseId,LDPC_BG2_K300_N480,LDPC_BG2_K300_N480,True
480,10.0,DIRECT_LAYERED_SPA_BP,targetLength,480,480,False
480,10.0,DIRECT_LAYERED_SPA_BP,actualLength,480,480,False
